fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,np_100,n_nub,p_sol,np_001,ta_min,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,nw_55,w_racha,nw_91,w_rec,w_med,ts_20,ts_10,ts_50
1920-1,3195,1.4(03),5.0,79.0,0.0,5.0,5.0,959.7(16),1025.4,946.2,2.2,14.6(22),8.8,0.0,5.0,12.0,0.0,14.0,52.0,4.0,-1.6(08),75.0,0.0,7.0,310.0,2.8,4.0,0.0,5.0,5.8,0.0,6.2,10.3,0.0,922.7(04),1.0,,,,,,,,
1920-2,3195,26.2(19),13.0,75.0,0.0,1.0,4.9,960.6(02),1024.7,945.1,3.7,15.8(29),9.7,0.0,2.0,11.0,3.0,5.0,46.0,11.0,-2.9(11),83.0,0.0,5.0,494.0,89.4,12.0,1.0,7.0,7.3,0.0,7.8,11.9,0.0,923.9(20),10.0,,,,,,,,
1920-3,3195,8.2(07),7.0,,1.0,0.0,6.8,951.9(03),1021.5,941.8,5.0,22.8(23),9.8,0.0,12.0,8.0,0.0,16.0,56.0,9.0,-1.8(11),,0.0,1.0,659.0,30.1,9.0,0.0,4.0,4.4,2.0,10.0,14.9,0.0,918.7(15),6.0,,,,,,,,
1920-4,3195,9.2(08),9.0,60.0,1.0,0.0,7.4,950.3(21),1015.9,938.7,7.6,25.6(28),10.7,0.0,24.0,5.0,0.0,16.0,55.0,11.0,3.2(22),96.0,0.0,0.0,705.0,26.3,12.0,1.0,0.0,13.3,0.0,13.3,18.9,0.0,927.0(12),6.0,,,,,,,,
1920-5,3195,38.4(13),7.0,58.0,1.0,1.0,9.2,954.5(05),1015.8,940.6,12.0,32.0(09),16.0,2.0,29.0,6.0,2.0,18.0,63.0,7.0,4.0(05),127.0,1.0,0.0,1072.0,75.3,10.0,1.0,0.0,19.7,0.0,18.5,25.0,0.0,931.8(23),5.0,,,,,,,,
1920-6,3195,13.9(27),5.0,51.0,0.0,0.0,9.6,947.0(22),1014.4,939.8,14.9,36.6(23),23.3,8.0,18.0,7.0,1.0,18.0,64.0,3.0,9.1(17),136.0,0.0,0.0,1211.0,15.8,7.0,3.0,0.0,18.8,0.0,21.2,27.4,0.0,930.9(06),2.0,,,,,,,,
1920-7,3195,6.2(20),1.0,39.0,1.0,0.0,11.9,947.9(28),1014.7,941.0,16.5,34.8(31),20.0,19.0,19.0,19.0,0.0,11.0,80.0,1.0,12.5(28),122.0,0.0,0.0,1821.0,6.2,2.0,1.0,0.0,26.2,0.0,23.8,31.1,0.0,935.7(31),1.0,,,,,,,,
1920-8,3195,1.0(02),0.0,,0.0,0.0,11.5,947.7(16),1014.5,940.6,16.8,35.3(12),20.3,18.0,14.0,22.0,0.0,9.0,83.0,2.0,13.0(15),,0.0,0.0,1918.0,1.3,2.0,0.0,0.0,26.6,0.0,24.0,31.1,0.0,934.6(19),1.0,,,,,,,,
1920-9,3195,2.7(11),3.0,55.0,0.0,0.0,8.9,948.2(25),1017.5,941.9,13.4,32.0(07),18.1,3.0,27.0,8.0,0.0,19.0,71.0,4.0,6.2(24),129.0,0.0,0.0,1234.0,3.6,8.0,0.0,0.0,18.2,0.0,19.4,25.4,0.0,933.4(20),1.0,,,,,,,,
1920-10,3195,15.9(24),16.0,84.0,0.0,3.0,3.2,946.3(22),1015.7,938.3,8.4,19.9(04),12.5,0.0,27.0,2.0,4.0,13.0,29.0,18.0,4.0(31),120.0,0.0,0.0,,86.9,20.0,0.0,0.0,10.9,0.0,12.2,16.0,0.0,927.1(31),13.0,,,,,,,,
1920-11,3195,15.3(25),8.0,85.0,0.0,1.0,4.0,953.8(15),1020.2,941.8,5.1,15.7(06),9.4,0.0,27.0,7.0,3.0,15.0,40.0,14.0,0.2(29),95.0,0.0,0.0,,62.2,16.0,1.0,0.0,5.9,0.0,8.5,11.7,0.0,919.5(01),8.0,,,,,,,,
1920-12,3195,22.9(13),,85.0,0.0,8.0,2.8,957.9(02),1021.3,941.8,2.1,14.8(02),9.7,0.0,,,1.0,,30.0,18.0,-6.2(19),78.0,0.0,,,50.1,10.0,0.0,9.0,1.0,3.0,5.0,7.9,,927.3(14),8.0,,,,,,,,
1920-13,3195,38.4(13/may),,,4.0,19.0,7.1,960.6(02/feb),1018.5,941.5,9.0,36.6(23/jun),23.3,50.0,,,14.0,,56.0,102.0,-6.2(19/dic),,1.0,,,450.0,112.0,8.0,25.0,1.0,5.0,14.2,19.3,,918.7(15/mar),62.0,,,,,,,,
1921-1,3195,6.0(12),8.0,79.0,0.0,11.0,5.2,957.4(22),1028.8,948.8,1.1,14.0(09),5.5,0.0,4.0,11.0,0.0,12.0,53.0,7.0,-3.5(17),71.0,0.0,10.0,312.0,10.9,4.0,0.0,9.0,3.5,0.0,5.3,9.4,0.0,932.2(13),3.0,0.0,34/10.6(16),0.0,109.0,4.0,,,
1921-2,3195,26.1(26),13.0,78.0,1.0,2.0,4.0,955.4(28),1020.7,941.6,2.6,13.2(18),6.9,0.0,3.0,3.0,1.0,12.0,38.0,17.0,-2.5(07),76.0,0.0,1.0,275.0,64.5,18.0,0.0,8.0,6.6,0.0,6.5,10.3,0.0,931.9(02),10.0,,,,,6.0,,,
1921-3,3195,2.7(30),7.0,61.0,1.0,0.0,7.3,956.3(16),1022.1,943.6,3.5,19.4(26),6.8,0.0,0.0,9.0,0.0,15.0,60.0,7.0,-0.3(08),69.0,0.0,1.0,664.0,9.9,11.0,0.0,3.0,9.7,0.0,8.7,13.9,0.0,930.6(11),5.0,0.0,05/11.7(30),0.0,217.0,6.0,,,
1921-4,3195,0.7(02),6.0,49.0,0.0,0.0,8.9,946.9(23),1015.7,938.5,5.2,24.0(29),11.8,0.0,0.0,13.0,0.0,11.0,66.0,5.0,-0.8(17),69.0,0.0,0.0,942.0,1.6,11.0,0.0,1.0,11.3,0.0,11.4,17.5,0.0,927.1(15),0.0,0.0,05/14.4(09),0.0,283.0,6.0,,,
1921-5,3195,24.2(23),12.0,64.0,0.0,0.0,6.6,943.5(14),1013.9,937.9,9.7,23.8(15),12.8,0.0,0.0,2.0,3.0,17.0,46.0,18.0,4.5(03),110.0,0.0,0.0,,81.9,21.0,1.0,0.0,14.7,0.0,15.1,20.4,0.0,931.5(04),12.0,,,,,8.0,,,
1921-6,3195,32.8(01),0.0,54.0,0.0,0.0,10.8,947.0(12),1015.6,941.0,13.9,34.7(23),20.5,8.0,1.0,10.0,1.0,20.0,72.0,6.0,10.4(11),136.0,1.0,0.0,1152.0,42.3,7.0,0.0,0.0,18.0,0.0,20.8,27.6,0.0,931.9(06),4.0,0.0,18/7.5(03),0.0,185.0,3.0,,,
1921-7,3195,2.4(18),0.0,45.0,0.0,0.0,,948.3(21),1015.1,941.4,17.3,34.7(27),21.2,22.0,0.0,19.0,0.0,12.0,,4.0,11.9(19),141.0,0.0,0.0,1705.0,4.9,5.0,0.0,0.0,24.4,0.0,24.4,31.4,0.0,936.1(04),2.0,,,,,5.0,,,
1921-8,3195,6.4(21),1.0,47.0,0.0,0.0,,947.1(13),1014.3,940.1,16.3,36.7(07),23.6,13.0,5.0,20.0,0.0,10.0,,2.0,11.7(13),132.0,0.0,0.0,1581.0,6.7,4.0,0.0,0.0,22.9,0.0,22.8,29.3,0.0,931.0(17),1.0,,,,235.0,3.0,,,
1921-9,3195,27.0(20),4.0,62.0,0.0,1.0,,947.5(12),1016.1,941.3,15.0,31.6(01),19.2,4.0,3.0,11.0,3.0,15.0,,9.0,11.8(25),146.0,0.0,0.0,906.0,63.7,11.0,4.0,0.0,15.5,0.0,20.4,25.7,0.0,935.5(08),7.0,,,,197.0,3.0,,,
1921-10,3195,,,,,,,954.7(14),,944.1,11.6,27.2(04),16.2,0.0,,,,,,,2.4(26),,,,,70.5,,,0.0,13.2,,16.3,20.9,,933.3(09),,,,,,,,,
1921-11,3195,,,,,,,,,,3.8,17.7(06),9.2,0.0,,,,,,,-3.4(11),,,,,37.4,,,4.0,6.1,,7.8,11.7,,,,,,,,,,,
1921-12,3195,,,,,,,,,,0.4,12.2(29),7.7,0.0,,,,,,,-3.2(22),,,,,27.7,,,20.0,5.8,,4.8,9.3,,,,,,,,,,,
1921-13,3195,,,,,,,,,,8.4,36.7(07/ago),23.6,47.0,,,,,,,-3.5(17/ene),,,,,422.0,,,45.0,3.5,,13.7,19.0,,,,,,,,,,,
1922-1,3195,7.6(23),10.0,76.0,1.0,3.0,4.5,959.3(11),1020.0,940.5,1.0,14.1(03),7.6,0.0,30.0,11.0,0.0,10.0,47.0,10.0,-2.8(13),69.0,0.0,1.0,394.0,41.5,11.0,0.0,14.0,4.7,2.0,5.2,9.2,0.0,913.3(17),9.0,0.0,32/7.5(31),0.0,210.0,6.0,,,
1922-2,3195,13.3(05),4.0,73.0,0.0,0.0,6.3,952.6(24),1021.8,942.2,2.9,17.5(28),7.7,0.0,4.0,8.0,1.0,16.0,58.0,4.0,-2.9(07),77.0,0.0,0.0,447.0,17.4,4.0,0.0,4.0,7.8,0.0,7.3,11.7,0.0,921.5(05),3.0,1.0,02/15.8(05),0.0,177.0,6.0,,,
1922-3,3195,13.7(12),12.0,,0.0,0.0,5.5,957.1(02),,938.3,3.0,18.1(06),6.5,0.0,5.0,4.0,1.0,15.0,46.0,12.0,-1.4(24),,0.0,0.0,617.0,51.4,17.0,0.0,4.0,6.2,1.0,7.7,12.3,0.0,912.9(22),9.0,0.0,05/8.9(21),0.0,239.0,10.0,,,
1922-4,3195,6.9(04),6.0,60.0,2.0,1.0,7.5,949.4(17),1017.7,940.0,5.8,23.2(14),9.4,0.0,8.0,3.0,0.0,21.0,56.0,5.0,0.1(20),84.0,0.0,0.0,770.0,15.8,6.0,0.0,0.0,11.6,0.0,11.4,16.9,0.0,927.8(29),4.0,0.0,25/8.9(10),0.0,259.0,10.0,,,
1922-5,3195,10.7(12),2.0,48.0,0.0,0.0,10.3,954.3(08),1018.3,943.1,11.9,31.0(25),17.2,5.0,8.0,13.0,1.0,16.0,71.0,6.0,2.1(01),107.0,0.0,0.0,1391.0,18.4,8.0,3.0,0.0,12.8,0.0,19.0,26.1,0.0,932.3(12),3.0,0.0,14/9.4(06),0.0,184.0,6.0,,,
1922-6,3195,24.8(11),5.0,56.0,1.0,0.0,9.5,946.6(19),1015.5,940.5,12.7,31.6(27),17.6,6.0,9.0,9.0,4.0,16.0,63.0,11.0,6.9(11),129.0,0.0,0.0,993.0,91.9,11.0,2.0,0.0,14.4,0.0,18.9,25.1,0.0,931.7(15),10.0,0.0,36/7.5(17),0.0,,6.0,,,
1922-7,3195,0.0(--),0.0,45.0,0.0,0.0,12.1,949.1(09),1016.1,942.2,16.6,35.6(30),20.2,19.0,10.0,21.0,0.0,10.0,82.0,0.0,11.8(09),139.0,0.0,0.0,1614.0,0.0,0.0,0.0,0.0,25.4,0.0,23.7,30.7,0.0,934.9(14),0.0,,,,,,,,
1922-8,3195,12.4(13),2.0,48.0,0.0,0.0,10.4,945.8(23),1013.8,939.9,17.0,34.2(21),20.0,19.0,7.0,18.0,1.0,11.0,76.0,5.0,10.1(30),139.0,0.0,0.0,1501.0,15.1,8.0,0.0,0.0,17.9,0.0,23.5,30.0,0.0,933.1(29),2.0,0.0,23/11.1(13),0.0,,8.0,,,
1922-9,3195,23.7(09),5.0,62.0,0.0,0.0,8.2,953.4(20),1017.9,941.8,11.3,28.6(22),15.6,0.0,6.0,15.0,1.0,10.0,66.0,4.0,5.7(12),119.0,0.0,0.0,794.0,39.9,6.0,0.0,0.0,14.3,0.0,16.9,22.4,0.0,927.3(27),4.0,,,,,8.0,,,
1922-10,3195,17.6(15),10.0,,0.0,1.0,6.0,954.7(14),1020.4,944.0,9.3,27.6(05),13.4,0.0,23.0,6.0,3.0,15.0,53.0,13.0,2.0(26),,0.0,1.0,,91.1,14.0,0.0,0.0,9.2,0.0,13.9,18.5,0.0,933.2(09),12.0,,,,,,,,
1922-11,3195,,,,,,,,,,4.4,16.6(03),11.6,0.0,,,,,,,-2.5(29),,,,,9.9,,,4.0,8.3,,8.2,12.0,,,,,,,,,,,
1922-12,3195,,,,,,,,,,0.3,12.7(07),7.0,0.0,,,,,,,-2.1(27),,,,,16.9,,,18.0,2.4,,4.3,8.3,,,,,,,,,,,
1922-13,3195,,,,,,,,,,8.0,35.6(30/jul),20.2,49.0,,,,,,,-2.9(07/feb),,,,,409.3,,,44.0,2.4,,13.3,18.6,,,,,,,,,,,
1923-1,3195,,0.0,,,,,,,,-0.6,13.1(31),8.6,0.0,31.0,17.0,,14.0,,,-3.6(30),,,0.0,,2.0,,,22.0,5.6,,4.1,8.8,0.0,,,,,,,,,,
1923-2,3195,5.5(07),6.0,77.0,1.0,4.0,3.9,957.0(01),1018.8,939.9,2.5,15.0(03),8.8,0.0,,4.0,0.0,18.0,37.0,12.0,-2.4(06),77.0,0.0,,338.0,24.2,13.0,0.0,3.0,3.0,1.0,6.8,11.1,,921.0(08),9.0,,,,327.0,,,,
1923-3,3195,26.5(22),7.0,69.0,0.0,0.0,6.3,951.0(29),1017.8,940.1,5.4,19.0(18),9.6,0.0,5.0,7.0,3.0,17.0,52.0,9.0,0.0(06),88.0,0.0,0.0,647.0,67.8,11.0,1.0,1.0,11.2,0.0,10.3,15.2,0.0,928.3(20),6.0,,,,274.0,,,,
1923-4,3195,9.6(21),11.0,70.0,1.0,0.0,6.2,948.9(30),1011.4,934.2,5.0,23.4(30),8.6,0.0,3.0,4.0,0.0,15.0,47.0,12.0,0.6(09),89.0,0.0,1.0,,36.1,13.0,2.0,0.0,8.9,1.0,10.1,15.2,0.0,916.1(21),9.0,,,,330.0,,,,
1923-5,3195,19.2(19),5.0,57.0,0.0,0.0,9.1,947.9(02),1015.9,940.1,9.8,30.6(04),15.8,2.0,9.0,6.0,1.0,18.0,63.0,7.0,4.3(28),110.0,0.0,0.0,,33.0,10.0,5.0,0.0,14.7,0.0,16.2,22.6,0.0,931.9(30),4.0,,,,328.0,,,,
1923-6,3195,5.2(04),2.0,51.0,0.0,0.0,10.5,951.1(10),1018.1,942.8,11.6,29.8(25),17.5,0.0,13.0,11.0,0.0,17.0,70.0,4.0,4.4(23),115.0,0.0,0.0,,11.0,5.0,0.0,0.0,15.2,0.0,18.4,25.2,0.0,937.0(04),3.0,,,,,,,,
1923-7,3195,18.2(11),2.0,46.0,1.0,0.0,11.0,950.3(21),1015.4,941.8,17.9,35.8(26),21.6,24.0,9.0,14.0,1.0,15.0,75.0,3.0,12.0(11),147.0,0.0,0.0,1665.0,20.9,3.0,4.0,0.0,18.6,0.0,24.6,31.3,0.0,934.3(31),2.0,,,,263.0,,,,
1923-8,3195,2.1(01),1.0,42.0,0.0,0.0,10.8,948.1(09),1015.3,941.5,18.6,35.7(08),23.8,26.0,16.0,20.0,0.0,10.0,79.0,1.0,11.8(31),139.0,0.0,0.0,,2.1,4.0,2.0,0.0,20.3,0.0,25.6,32.5,0.0,933.8(21),1.0,,,,,,,,
