fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,q_max,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,np_100,n_nub,np_001,ta_min,e,np_300,nv_1000,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,q_mar,inso,p_sol,evap,nw_55,w_racha,nw_91,w_rec,ts_20,ts_10,ts_50,glo
1960-1,2462,18.7(11),19.0,90.0,0.0,21.0,821.7(04),809.7,-3.5,14.6(06),6.2,0.0,1.0,7.0,6.0,5.0,17.0,-15.4(11),54.0,0.0,1.0,128.8,1.0,0.0,9.0,23.0,-9.6,16.0,-0.5,2.5,17.0,788.9(11),15.0,,,,,,,,,,,,
1960-2,2462,54.1(05),,88.0,0.0,18.0,822.3(28),806.6,-3.7,15.0(28),7.4,0.0,1.0,,5.0,,22.0,-12.2(08),52.0,3.0,2.0,223.4,3.0,0.0,12.0,23.0,-8.0,19.0,-0.8,2.1,12.0,791.7(11),20.0,,,,,,,,,,,,
1960-3,2462,15.4(27),22.0,89.0,0.0,22.0,823.4(03),805.7,-1.4,15.6(04),6.6,0.0,0.0,3.0,1.0,6.0,21.0,-6.6(31),60.0,0.0,2.0,88.3,2.0,0.0,8.0,22.0,-2.0,19.0,1.4,4.2,20.0,789.7(14),18.0,1013.2,,,,,,,,,,,
1960-4,2462,6.9(03),6.0,78.0,1.0,4.0,820.1(13),811.7,0.0,13.4(10),6.4,0.0,0.0,9.0,0.0,15.0,9.0,-8.6(18),65.0,0.0,1.0,23.4,4.0,0.0,8.0,16.0,-0.6,4.0,4.0,8.1,3.0,801.9(03),7.0,,,,,,,,,,,,
1960-5,2462,38.4(12),11.0,77.0,,4.0,821.7(24),812.3,4.1,20.8(26),10.2,0.0,0.0,4.0,5.0,16.0,16.0,-2.2(02),85.0,1.0,1.0,152.6,,4.0,,6.0,1.8,,8.1,12.0,4.0,801.6(01),13.0,1015.6,,,,,,,,,,,
1960-6,2462,15.4(04),2.0,70.0,0.0,1.0,823.7(16),816.4,9.2,26.0(21),16.4,0.0,0.0,6.0,3.0,22.0,9.0,4.6(07),109.0,0.0,2.0,47.9,9.0,3.0,4.0,0.0,11.4,0.0,13.6,18.1,1.0,810.3(30),5.0,1016.3,,,,,,,,,,,
1960-7,2462,4.3(02),1.0,60.0,1.0,1.0,820.6(21),816.4,9.2,27.2(28),16.8,0.0,0.0,10.0,0.0,20.0,4.0,1.8(08),101.0,0.0,1.0,7.9,4.0,3.0,6.0,0.0,13.4,0.0,14.9,20.5,1.0,809.3(02),3.0,1015.4,,,,,,,,,,,
1960-8,2462,4.2(17),1.0,56.0,0.0,0.0,822.9(29),815.4,8.7,25.4(23),15.8,0.0,0.0,13.0,0.0,17.0,4.0,1.6(12),92.0,0.0,0.0,10.3,4.0,2.0,8.0,0.0,14.6,0.0,14.4,20.1,0.0,807.9(18),3.0,1014.6,10.7,78.0,,,,,,,,,
1960-9,2462,24.8(29),10.0,69.0,0.0,8.0,821.1(12),814.6,7.2,25.4(13),15.0,0.0,0.0,11.0,4.0,9.0,12.0,-1.0(16),88.0,0.0,0.0,89.5,11.0,3.0,9.0,2.0,5.6,1.0,11.6,15.9,8.0,800.5(16),9.0,1016.2,6.6,52.0,,,,,,,,,
1960-10,2462,105.4(21),25.0,93.0,0.0,23.0,816.8(17),806.3,-0.2,11.4(08),4.0,0.0,0.0,2.0,13.0,4.0,24.0,-2.6(16),71.0,4.0,2.0,491.5,12.0,0.0,11.0,18.0,-0.4,12.0,2.6,5.4,21.0,792.7(28),23.0,1012.6,2.1,19.0,,,,,,,,,
